Question,A,B,C,D,Answer
Who was the first Prime Minister of independent India?,Mahatma Gandhi,Jawaharlal Nehru,Dr. B.R. Ambedkar,Subhas Chandra Bose,B
Which is the largest state in India by area?,Uttar Pradesh,Madhya Pradesh,Maharashtra,Rajasthan,D
In which city is the Taj Mahal located?,Delhi,Agra,Jaipur,Lucknow,B
Which river is known as the 'Ganga of the South'?,Godavari,Krishna,Cauvery,Narmada,C
Who is known as the 'Nightingale of India'?,Lata Mangeshkar,Sarojini Naidu,Asha Bhosle,Indira Gandhi,B
What is the national animal of India?,Lion,Bengal Tiger,Elephant,Leopard,B
Which planet is closest to the Sun?,Venus,Earth,Mercury,Mars,C
Which is the highest civilian award in India?,Padma Vibhushan,Bharat Ratna,Param Vir Chakra,Sahitya Akademi Award,B
"Who wrote the national anthem of India, 'Jana Gana Mana'?",Bankim Chandra Chattopadhyay,Rabindranath Tagore,Sri Aurobindo,Sarojini Naidu,B
Which Indian state has the longest coastline?,Maharashtra,Tamil Nadu,Kerala,Gujarat,D
Who was the first President of India?,Dr. Rajendra Prasad,Dr. S. Radhakrishnan,Zakir Husain,V.V. Giri,A
In which year did India win its first Cricket World Cup?,1975,1979,1983,1987,C
Which monument was built to commemorate the visit of King George V and Queen Mary to Mumbai?,Gateway of India,India Gate,Charminar,Victoria Memorial,A
Which is the smallest state in India by area?,Sikkim,Goa,Tripura,Mizoram,B
The classical dance form 'Kathakali' originated in which state?,Tamil Nadu,Andhra Pradesh,Kerala,Karnataka,C
Who is the author of the book 'Discovery of India'?,Mahatma Gandhi,Jawaharlal Nehru,Rabindranath Tagore,Bal Gangadhar Tilak,B
Which city is known as the 'Pink City' of India?,Jodhpur,Udaipur,Jaipur,Bikaner,C
Which is the largest freshwater lake in India?,Chilika Lake,Wular Lake,Dal Lake,Pulicat Lake,B
The famous Sun Temple is located in which place?,Konark,Khajuraho,Madurai,Tanjore,A
Who is known as the 'Iron Man of India'?,Subhas Chandra Bose,Sardar Vallabhbhai Patel,Bhagat Singh,Lala Lajpat Rai,B
Which component of blood is responsible for carrying oxygen?,White Blood Cells,Red Blood Cells,Platelets,Plasma,B
What is the basic structural and functional unit of life?,Tissue,Organ,Cell,Protein,C
Which organ in the human body produces insulin?,Liver,Pancreas,Gallbladder,Spleen,B
What is the normal body temperature of a healthy human being?,35°C,37°C,39°C,41°C,B
Which vitamin is synthesized in the skin when exposed to sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,D
What is the green pigment in plants that absorbs light for photosynthesis?,Carotene,Xanthophyll,Chlorophyll,Anthocyanin,C
Which part of the plant is responsible for absorbing water and nutrients from the soil?,Stem,Leaf,Root,Flower,C
Which human organ is primarily involved in detoxification and metabolism?,Kidney,Heart,Lungs,Liver,D
What gas do animals exhale during respiration?,Oxygen,Nitrogen,Carbon Dioxide,Carbon Monoxide,C
Which organism is known as the 'Powerhouse of the cell'?,Nucleus,Ribosome,Mitochondria,Golgi Apparatus,C
How many pairs of chromosomes do humans typically have?,21,22,23,24,C
Which acid is naturally present in the human stomach to help digestion?,Sulphuric Acid,Hydrochloric Acid,Nitric Acid,Acetic Acid,B
Scurvy is caused due to the deficiency of which vitamin?,Vitamin A,Vitamin B1,Vitamin C,Vitamin D,C
Which is the largest organ in the human body?,Liver,Brain,Skin,Heart,C
What type of blood vessel carries blood away from the heart?,Vein,Artery,Capillary,Nerve,B
Which animal is known to have three hearts?,Octopus,Shark,Whale,Dolphin,A
What is the main function of white blood cells?,To carry nutrients,To fight infection,To clot blood,To transport oxygen,B
Which plant hormone is responsible for the ripening of fruits?,Auxin,Gibberellin,Cytokinin,Ethylene,D
Mushrooms belong to which kingdom of living organisms?,Plantae,Animalia,Fungi,Monera,C
Which structure prevents food from entering the windpipe during swallowing?,Epiglottis,Pharynx,Larynx,Esophagus,A
What is the chemical symbol for Gold?,Go,Gd,Au,Ag,C
Which gas is commonly known as laughing gas?,Nitric Oxide,Nitrous Oxide,Nitrogen Dioxide,Sulfur Dioxide,B
What is the main component of natural gas?,Ethane,Propane,Butane,Methane,D
Which element is essential for organic chemistry and life on Earth?,Silicon,Carbon,Oxygen,Nitrogen,B
What is the pH value of pure water at room temperature?,5,7,9,14,B
Which metal is found in a liquid state at room temperature?,Sodium,Mercury,Gallium,Magnesium,B
What is the chemical name of common household baking soda?,Sodium Carbonate,Sodium Bicarbonate,Sodium Chloride,Calcium Carbonate,B
Which gas is used to extinguish fires?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
What is the hardest allotrope of Carbon?,Graphite,Diamond,Fullerene,Coal,B
Which acid is found in vinegar?,Citric Acid,Acetic Acid,Tartaric Acid,Formic Acid,B
What is the most abundant gas in the Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Argon,C
Which gas fills light bulbs to prevent the filament from burning out?,Oxygen,Hydrogen,Argon,Chlorine,C
What substance is known as the Universal Solvent?,Alcohol,Benzene,Water,Acetone,C
Which metal is universally used for making electrical wires due to its conductivity and cost?,Iron,Copper,Silver,Aluminum,B
What is the main gas responsible for global warming?,Oxygen,Nitrogen,Carbon Dioxide,Helium,C
What chemical element is named after the creator of the periodic table?,Mendelevium,Einsteinium,Nobelium,Curium,A
Which non-metal is a good conductor of electricity?,Sulphur,Phosphorus,Graphite,Iodine,C
What is the chemical formula for common salt?,KCl,NaCl,NaOH,HCl,B
Which acid is found in lemons and oranges?,Malic Acid,Citric Acid,Lactic Acid,Oxalic Acid,B
Which element has the lowest atomic number?,Helium,Lithium,Hydrogen,Beryllium,C
What is the unit of electric current?,Volt,Watt,Ampere,Ohm,C
Which phenomenon explains why the sky appears blue?,Reflection,Refraction,Scattering,Dispersion,C
Who formulated the laws of universal gravitation and motion?,Albert Einstein,Isaac Newton,Galileo Galilei,Niels Bohr,B
What device converts mechanical energy into electrical energy?,Motor,Generator,Transformer,Battery,B
Which type of mirror is used as a rear-view mirror in vehicles?,Concave,Convex,Plane,Cylindrical,B
What is the primary mode of heat transfer through a solid material?,Conduction,Convection,Radiation,Insulation,A
Which color of light undergoes the maximum deviation when passing through a prism?,Red,Yellow,Green,Violet,D
What is the unit used to measure the frequency of sound or waves?,Decibel,Hertz,Meter,Second,B
Sound waves cannot travel through which of the following?,Water,Air,Steel,Vacuum,D
Which subatomic particle carries a negative electric charge?,Proton,Neutron,Electron,Positron,C
What type of lens is used to correct short-sightedness (Myopia)?,Convex Lens,Concave Lens,Bifocal Lens,Cylindrical Lens,B
What property allows insects to walk on the surface of water?,Viscosity,Surface Tension,Density,Capillarity,B
Which law states that energy can neither be created nor destroyed?,Law of Conservation of Mass,Law of Conservation of Energy,Newton's Third Law,Ohm's Law,B
What type of wave is a sound wave?,Longitudinal Wave,Transverse Wave,Electromagnetic Wave,Surface Wave,A
Which scientist discovered the X-ray?,Wilhelm Röntgen,Henri Becquerel,Marie Curie,J.J. Thomson,A
What is the escape velocity from Earth's surface approximately?,5.2 km/s,8.5 km/s,11.2 km/s,15.4 km/s,C
What instrument is used to measure atmospheric pressure?,Thermometer,Barometer,Hydrometer,Anemometer,B
The pooling of water on hot asphalt roads in summer is due to which optical illusion?,Mirage,Rainbow,Halo,Aurora,A
Which fundamental force keeps the planets in orbit around the sun?,Electromagnetic Force,Strong Nuclear Force,Weak Nuclear Force,Gravitational Force,D
What determines the loudness of a sound wave?,Frequency,Wavelength,Amplitude,Speed,C
